,Passage
1363,Presently Ghana 18530 primary schools 8850 junior secondary schools 900 senior secondary schools 28 training colleges 20 technical institutions 4 diplomaawarding institutions 6 public universities 10 private universities means Ghanaians relatively easy access primary secondary education numbers contrasted single university handful secondary primary schools existed time independence 1957 Ghanas spending education varied 28 40 percent annual budget past decade teaching done English Ghanas official language
1364,Ghana 6year primary education system beginning age six educational reforms implemented 1987 pass 3year junior secondary school JSS program end 3rd year JSS Basic Education Certificate Examination BECE continuing must complete 3year senior secondary school SSS program take admission exam enter university School enrollment totals 2 million 13 million primary 550000 middle 300000 secondary 84280 technical 18000 teacher training 89000 university
1365,shortage places postsecondary education acute one nine senior secondary graduates finds place technical teachertraining fouryear university program
1366,Ghana News
1367,Government
1368,Healthcare
1369,Unite Sight Buduburam Refugee Camp Ghana Unite Sight video documentary interviews residents Buduburam Refugee Camp Ghana Unite Sight provides free eye care residents
1370,Subayo Foundation profit charity women children Ghana based US
1371,Overviews
1372,Teaching resources
1373,Tourism
1374,web
1375,Nikola Tesla Serbian Cyrillic ÐÐÐºÐ¾ÐÐ ÐÐµÑÐÐ July 10 1856 7 January 1943 inventor physicist mechanical engineer electrical engineer Born Smiljan Croatian Krajina Military Frontier ethnic Serb subject Austrian Empire later became American citizen Tesla best known many revolutionary contributions discipline electricity magnetism late 19th early 20th century Teslas patents theoretical work formed basis modern alternating current electric power AC systems including polyphase power distribution systems AC motor helped usher Second Industrial Revolution Contemporary biographers Tesla deemed man invented twentieth century Title biography Robert Lomas seen patron saint modern electricity Seifer Wizard Life Times Nikola Tesla book synopsis
1376,demonstration wireless communication radio 1893 victor War Currents widely respected Americas greatest electrical engineer ref Much early work pioneered modern electrical engineering many discoveries groundbreaking importance period United States Teslas fame rivaled inventor scientist history popular culture Harnessing Wheelwork Nature Teslas Science Energy Thomas Valone due eccentric personality unbelievable sometimes bizarre claims possible scientific technological developments Tesla ultimately ostracized regarded mad scientist Childress David Hatcher ed Tesla Papers Nikola Tesla Free Energy Wireless Transmission Power Adventures Unlimited Press 2000 ISBN Lomas Robert essay Spark genius Independent Magazine August 21 1999 Never put much focus finances Tesla died impoverished age 86
1377,SI unit measuring magnetic flux density magnetic induction commonly known magnetic field B tesla named honour ConfÃrence GÃnÃrale des Poids et Mesures Paris 1960
1378,Aside work electromagnetism engineering Tesla said contributed varying degrees establishment robotics remote control radar computer science expansion ballistics nuclear physics Cheney Margaret Tesla Man Time 1979 ISBN 0743215362 Front cover flap theoretical physics 1943 Supreme Court United States credited inventor radio Many achievements used controversy support various pseudosciences UFO theories early new age occultism
1379,Tesla honoured Serbia Croatia well adopted home United States
1380,According legend Tesla born precisely midnight electrical storm Serbian family village Smiljan near GospiÄ Lika region Croatian Krajina Military Frontier part Austrian Empire presentday Croatia DommermuthCosta Carol Nikola Tesla Spark Genius pp 1112 1994 ISBN
1381,Nikola Teslas birth house statue Smiljan
1382,baptism certificate reports born June 28 NS July 10 1856 christened Serbian Orthodox priest Toma OklobdÅ¾ija father Rev Milutin Tesla priest Serbian Orthodox Church Metropolitanate Sremski Karlovci Milutin born 19 February 1819 village Meduc county Medak Lika Austrian Empire son Nikola Tesla b 1789 military frontier settled service Napoleonic Wars Gospic 1815 Ana KaliniÄ famous frontier Kalinic family Teslas family asserted last name Lika paternal origin thought DraganiÄ family Tara valley area geographical entity known Old Vlach one local Serb clans however genealogical research shows Nikola Herzegovinian noble KomnenoviÄ modernday Old Herzegovina Montenegro OrloviÄ subgroup traces origin semimythic Pavle Orlovic bore Prince Lazars banner Battle Kosovo 1389 mother Äuka MandiÄ daughter Serbian Orthodox Church priest came family domiciled Lika Banija deeper origins Kosovo talented making home craft tools memorized many Serbian epic poems never learned read Seifer Wizard p 7 godfather Jovan Drenovac captain army protecting Military Frontier
